show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
OC220302-SN0823	OC220302-SN0823	Inf	Inf*	0.0117473	0.00957122	0.0148943	0.01236	0.01258934	0.01558584	6.26317	--	--	--	--	--	0	2	0.0554	0.02	0.1778	0.0302	0.0755	0.0789	0.015	0.0186	0.0551	0.0146	0.0717	0.026	0.0121	0.0113	0.0191	0.0212	0.0847	0.0136	0.043	0.0102	0.1107	0.0132	3.8174	4.0968	0.912234952
OC220302-SN0824	OC220302-SN0824	Inf	Inf*	0.00174319	0.00156914	0.000886	0.0011238	0.00175578	0.000929648	9.40533	--	--	--	--	--	0	2	0.0617	0.0211	0.2154	0.0453	0.1097	0.0978	0.0027	0.0024	0.0655	0.0092	0.0874	0.0298	0.012	0.0102	0.0236	0.0158	0.0907	0.0131	0.083	0.0129	0.1551	0.0114	3.5088	3.9416	0.887434249
OC220302-SN0825	OC220302-SN0825	Inf	Inf*	0.00221075	0.00402928	0.00360697	0.00512	0.00449223	0.00390453	Inf	--	--	--	--	--	0	2	0.1276	0.0319	0.1964	0.0671	0.2446	0.1556	0.0257	0.0291	0.1365	0.0108	0.1834	0.0551	0.0221	0.0027	0.0367	0.0387	0.2268	0.0169	0.2312	0.0106	0.2551	0.0147	3.855	4.0451	0.89911117
OC220302-SN0826	OC220302-SN0826	Inf	Inf*	0.00268119	0.00330875	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.1986	0.1362	0.146	0.0759	0.0313	0.1407	0.1992	0.0122	0.0319	0.3212	0.1032	0.0901	0.0663	0.1792	0.0511	0.0671	0.0614	0.052	0.1127	0.0282	0.1048	0.0455	3.8665	3.9897	0.884348933
OC220302-SN0827	OC220302-SN0827	Inf	Inf*	0.000325554	0.0005	0.0153082	0.01782	0.0148035	0.000268	0.0193744	--	--	--	--	--	0	2	0.0549	0.0616	0.1553	0.0323	0.0172	0.0653	0.081	0.0102	0.0147	0.2847	0.0351	0.0448	0.0235	0.103	0.0227	0.045	0.0406	0.025	0.0379	0.0248	0.038	0.0228	3.9544	4.0728	0.864709494
OC220302-SN0828	OC220302-SN0828	Inf	Inf*	0.0604446	0.0619581	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.0387	0.0485	0.1071	0.0306	0.027	0.0537	0.0597	0.011	0.014	0.2199	0.0329	0.04	0.0197	0.0954	0.0258	0.0179	0.0191	0.021	0.028	0.0175	0.0313	0.0171	4.1056	4.2047	0.823523446
OC220302-SN0829	OC220302-SN0829	Inf	Inf*	0.0694007	0.081702	0.0816089	0.047121	0.0794499	0.0962661	Inf	--	--	--	--	--	0	2	0.0385	0.036	0.0846	0.0209	0.0167	0.0426	0.0589	0.0154	0.0147	0.2386	0.0295	0.0482	0.0238	0.0954	0.023	0.0216	0.0203	0.023	0.0242	0.0215	0.0261	0.0155	3.8923	3.8492	0.547136977
OC220302-SN0831	OC220302-SN0831	Inf	Inf*	0.00589956	0.00559168	0.00428184	0.0061102	0.00557192	0.00587442	2.902	--	--	--	--	--	0	2	0.0346	0.0669	0.2229	0.0317	0.0149	0.0463	0.0554	0.011	0.0188	0.2467	0.0283	0.0421	0.0214	0.104	0.0233	0.0154	0.0189	0.0215	0.0304	0.0211	0.0288	0.013	3.8527	3.8862	0.965845625
OC220302-SN0832	OC220302-SN0832	Inf	Inf*	0.00254303	0.00586103	0.00252564	0.00241407	0.00281857	0.00220161	0.0118051	--	--	--	--	--	0	2	0.0586	0.9724	0.1689	0.0388	0.0176	0.0503	0.0641	0.0116	0.0148	0.232	0.0341	0.0469	0.0171	0.1072	0.0227	0.0146	0.0228	0.0283	0.0336	0.0387	0.0254	0.0129	3.9658	3.9327	0.962355834
OC220302-SN0833	OC220302-SN0833	Inf	Inf*	0.00211849	0.00281875	0.00229075	0.00357328	0.00229493	0.00225065	4.09029	--	--	--	--	--	0	2	0.0538	0.102	0.2797	0.0312	0.0172	0.062	0.0914	0.0176	0.0143	0.2797	0.0453	0.0648	0.0243	0.1255	0.0356	0.0154	0.0323	0.0332	0.075	0.0271	0.0373	0.0156	3.7883	4.1137	0.957444023
OC220302-SN0835	OC220302-SN0835	Inf	Inf*	0.600011	0.558313	0.790811	0.542517	0.540751	0.39727	3.98994	--	--	--	--	--	0	2	0.1901	0.2441	0.2354	0.1239	0.0634	0.1075	0.1904	0.0448	0.0468	0.3753	0.1579	0.2074	0.1123	0.2501	0.1074	0.0868	0.1672	0.1472	0.1903	0.0459	0.0909	0.1358	2.9185	4.3002	0.732016925
OC220302-SN0836	OC220302-SN0836	Inf	Inf*	0.422078	0.2117005	3.00626	3.18453	3.45416	0.345	3.872	--	--	--	--	--	0	2	0.0712	0.0644	0.1284	0.0298	0.0323	0.0736	0.0783	0.0306	0.0162	0.2815	0.0392	0.0284	0.0185	0.1328	0.0199	0.0442	0.0179	0.0226	0.039	0.0521	0.0564	0.0184	4.1035	4.0318	0.279460551
OC220302-SN0838	OC220302-SN0838	Inf	Inf*	0.00164428	0.00284856	0.302103	0.249573	0.337701	0.0784894	Inf	--	--	--	--	--	0	2	0.0568	0.0223	0.2053	0.0244	0.1229	0.0203	0.0139	0.0262	0.0115	0.199	0.0099	0.0083	0.0106	0.0452	0.0138	0.0101	0.0089	0.0169	0.0087	0.0297	0.0121	0.0108	4.044	3.9674	0.902876354
OC220302-SN0839	OC220302-SN0839	Inf	Inf*	0.0335643	0.0347416	0.174374	0.1278604	0.112775	0.0222	0.0946224	--	--	--	--	--	0	2	0.0138	0.0191	0.0802	0.0126	0.0093	0.017	0.0154	0.0556	0.0106	0.2291	0.0118	0.0096	0.0131	0.0423	0.0133	0.0091	0.0091	0.0222	0.012	0.0169	0.0134	0.013	4.1172	4.1362	0.744230362
OC220302-SN0841	OC220302-SN0841	Inf	Inf*	0.0118673	0.0072113	0.0489	0.0308998	0.0368198	0.0498923	Inf	--	--	--	--	--	0	2	0.0115	0.0134	0.0981	0.0116	0.0101	0.0166	0.0135	0.0106	0.0105	0.2198	0.0096	0.0107	0.0079	0.0469	0.0139	0.0099	0.0091	0.0173	0.0084	0.0171	0.011	0.0099	4.0821	4.2313	0.676516551
OC220302-SN0843	OC220302-SN0843	Inf	Inf*	0.00507315	0.00231	0.0565669	0.0468999	0.0596854	0.00364966	0.0793	--	--	--	--	--	0	2	0.0726	0.1013	0.2047	0.037	0.0278	0.0574	0.0441	0.0144	0.0147	0.3346	0.0502	0.0522	0.0573	0.1441	0.0488	0.0164	0.0496	0.0444	0.0488	0.021	0.0393	0.0253	3.9296	4.0549	0.83038217
OC220302-SN0848	OC220302-SN0848	Inf	Inf*	0.00179886	0.00067	0.39092	0.516822	0.592371	0.323689	0.455558	--	--	--	--	--	0	2	0.017	0.0284	0.1062	0.0264	0.0394	0.0142	0.0148	0.0156	0.013	0.2113	0.0146	0.0142	0.0054	0.0638	0.0297	0.0159	0.0128	0.0184	0.0114	0.0158	0.0119	0.0121	4.0327	3.8698	0.94869146
OC220302-SN0850	OC220302-SN0850	Inf	Inf*	0.00887126	0.00412	0.0306806	0.0371721	0.0428881	0.0470658	0.147509	--	--	--	--	--	0	2	0.0131	0.0135	0.1524	0.0159	0.0111	0.0139	0.0122	0.0085	0.013	0.1871	0.0099	1.2215	0.0092	0.0335	0.0159	0.0211	0.0096	0.0183	0.0101	0.0153	0.0106	0.0423	4.1348	3.8955	0.959139785
OC220302-SN0854	OC220302-SN0854	Inf	Inf*	0.0105256	0.0139644	0.1779	0.228954	0.141549	0.0106	0.45991	--	--	--	--	--	0	2	0.0626	0.0365	0.1258	0.0696	0.0323	0.0211	0.0398	0.0095	0.0368	0.2425	0.0705	0.0455	0.0115	0.1192	0.0559	0.0256	0.0359	0.025	0.0154	0.0194	0.0159	0.0184	3.998	4.0374	0.75352824
OC220302-SN0858	OC220302-SN0858	Inf	Inf*	0.488625	0.592879	0.433609	0.521408	0.404084	0.310551	9.93554	--	--	--	--	--	0	2	0.0132	0.4763	0.1096	0.0248	0.0149	0.0182	0.0146	0.0084	0.011	0.2417	0.0135	0.0104	0.0101	0.0814	0.0174	0.01	0.0108	0.0176	0.0091	0.0149	0.0157	0.0173	3.8915	3.9043	0.734127799
OC220302-SN0860	OC220302-SN0860	Inf	Inf*	0.000539763	0.0005	0.0681832	0.03848319	0.0559591	0.0423368	0.912366	--	--	--	--	--	0	2	0.0462	0.0699	0.1188	0.0299	0.0273	0.0571	0.0394	0.0126	0.014	0.3234	0.0308	0.0351	0.037	0.1093	0.0349	0.0147	0.033	0.0317	0.0386	0.0218	0.0286	0.0183	4.0225	3.9982	0.914457635
OC220302-SN0862	OC220302-SN0862	Inf	Inf*	0.046963	0.0308837	3.34415	3.60843	4.33508	7.44734	8.422	--	--	--	--	--	0	2	0.0546	0.043	0.1109	0.0395	0.0111	0.0687	0.048	0.0208	0.0135	0.2326	0.0238	0.0241	0.0262	0.1101	0.0192	0.0417	0.0133	0.0189	0.0225	0.0317	0.0559	0.0141	3.9047	4.0587	0.700893706
OC220302-SN0864	OC220302-SN0864	Inf	Inf*	0.00378609	0.00126	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.0089	0.015	0.0976	0.0162	0.0169	0.017	0.0179	0.0231	0.0125	0.1891	0.0105	0.01	0.0107	0.0624	0.011	0.0107	0.0104	0.019	0.0083	0.0161	0.0131	0.0102	3.9204	3.9389	0.940856863
OC220302-SN0865	OC220302-SN0865	Inf	Inf*	0.00857198	0.00637125	0.00534615	0.00492854	0.00512839	0.0113474	7.99638	--	--	--	--	--	0	2	0.0142	0.0435	0.1561	0.0104	0.0115	0.0109	0.0121	0.0194	0.0149	0.1746	0.0118	0.0089	0.0092	0.0411	0.0136	0.0159	0.0088	0.0171	0.0081	0.0126	0.0101	0.0089	4.0015	3.9927	0.903212811
OC220302-SN0866	OC220302-SN0866	Inf	Inf*	0.00632782	0.00521019	0.00510983	0.00434492	0.00494287	0.00724791	Inf	--	--	--	--	--	0	2	0.0579	0.0178	0.0882	0.0161	0.0188	0.0139	0.0132	0.012	0.0187	0.2182	0.0124	0.0095	0.0117	0.048	0.0136	0.0248	0.011	0.02	0.0095	0.0149	0.0133	0.0152	4.052	4.0273	0.931372549
OC220302-SN0867	OC220302-SN0867	Inf	Inf*	0.4498	0.381114	0.266246	0.33447	0.260664	0.266992	Inf	--	--	--	--	--	0	2	0.0126	0.0205	0.0735	0.0198	0.0207	0.0174	0.0189	0.0117	0.0176	0.189	0.0161	0.0127	0.0117	0.0466	0.0186	0.0181	0.0124	0.0236	0.008	0.0154	0.0119	0.0171	4.0929	3.8774	0.475978026
OC220302-SN0871	OC220302-SN0871	Inf	Inf*	0.807859	0.748857	14.8175	9.38159	9.5719	0.833855	Inf	--	--	--	--	--	0	2	0.0435	0.068	0.2368	0.0273	0.0207	0.0499	0.0284	0.0114	0.0125	0.322	0.0301	0.023	0.0286	0.0981	0.024	0.0106	0.0283	0.0328	0.0328	0.0152	0.0274	0.0129	3.9447	3.924	0.5051093
OC220302-SN0872	OC220302-SN0872	Inf	Inf*	0.000902091	0.0005	0.400386	0.388334	0.411139	0.101914	Inf	--	--	--	--	--	0	2	0.0508	0.0604	0.0869	0.0219	0.0138	0.0503	0.0357	0.026	0.0117	0.2496	0.0238	0.0219	0.0122	0.1248	0.014	0.0382	0.0121	0.0198	0.0228	0.0162	0.0437	0.0256	4.0599	3.9448	0.781804734
OC220302-SN0874	OC220302-SN0874	Inf	Inf*	0.422699	0.54964	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.0106	0.0159	0.0732	0.0142	0.0086	0.0177	0.0125	0.0099	0.0121	0.1894	0.0101	0.0093	0.009	0.0561	0.0123	0.0135	0.0144	0.0165	0.0098	0.0163	0.0124	0.0102	3.9691	3.6617	0.619108182
OC220302-SN0877	OC220302-SN0877	Inf	Inf*	0.0158826	0.00949808	8.5743	Inf	Inf	Inf	9.05231	--	--	--	--	--	0	2	0.0099	0.0257	0.0859	0.0135	0.0504	0.0114	0.0131	0.0113	0.0136	0.2407	0.0104	0.0092	0.0114	0.0568	0.0126	0.0209	0.013	0.0233	0.0114	0.0122	0.0157	0.0157	4.0476	3.7541	0.741168996
OC220302-SN0879	OC220302-SN0879	Inf	26.4456	0.169214	0.1477102	0.439272	0.58341	0.456297	0.357823	1.11411	--	--	--	--	--	2	2	0.1472	0.1469	0.4972	0.3045	0.0448	0.0154	0.0238	0.0156	0.0228	0.217	0.0619	0.05	0.0122	0.073	0.0349	0.0263	0.014	0.0208	0.0108	0.0132	0.0153	0.0105	4.0697	3.9303	0.499985421
OC220302-SN0880	OC220302-SN0880	Inf	Inf*	0.00513149	0.00236048	8.38784	7.907791	8.71897	1.63239	7.24612	--	--	--	--	--	0	2	0.0098	0.0123	0.081	0.0167	0.0146	0.0097	0.0137	0.0482	0.0158	0.1782	0.0108	0.0116	0.0109	0.0364	0.0209	0.0094	0.0086	0.0171	0.0076	0.012	0.0106	0.0162	3.8832	4.0144	0.920489061
OC220302-SN0882	OC220302-SN0882	Inf	Inf*	0.00295385	0.00337447	0.0114394	0.01259362	0.0109898	0.00958441	Inf	--	--	--	--	--	0	2	0.0234	0.0229	0.1206	0.0333	0.0133	0.0141	0.0153	0.0133	0.0172	0.2308	0.0152	0.0092	0.0176	0.0575	0.0163	0.0107	0.0106	0.0171	0.009	0.0141	0.0108	0.013	3.9917	4.0916	0.959143
OC220302-SN0883	OC220302-SN0883	Inf	Inf*	0.000582419	0.0005	0.00054674	0.00207287	0.000666588	0.000765794	1.15632	--	--	--	--	--	0	2	0.0441	0.0515	0.0992	0.0252	0.0209	0.0467	0.0264	0.0139	0.0119	0.3311	0.0304	0.0317	0.0443	0.1019	0.0263	0.0121	0.0821	0.0279	0.0299	0.0164	0.0285	0.0129	3.7283	4.0001	0.877682041
OC220302-SN0887	OC220302-SN0887	Inf	Inf*	0.00210295	0.00224348	0.0019282	0.0036473	0.00198451	0.00275284	0.692411	--	--	--	--	--	0	2	0.0654	0.1504	0.3303	0.1101	0.0211	0.0802	0.0392	0.0097	0.0161	0.2876	0.0393	0.0237	0.0617	0.1063	0.0174	0.3653	0.0277	0.5465	0.0217	0.0408	0.1912	0.0175	4.0122	3.8374	0.796342857
OC220302-SN0888	OC220302-SN0888	Inf	Inf*	0.0225486	0.00956474	2.91522	4.36574	2.788	0.089004116	3.922	--	--	--	--	--	1	2	0.0534	0.0443	0.1662	0.0593	0.0488	0.0191	0.0168	0.0103	0.0159	0.2502	0.0266	0.0095	0.0095	0.0532	0.0113	0.0121	0.0105	0.0163	0.0169	0.015	0.0115	0.0141	3.9404	3.6644	0.842719486
OC220302-SN0890	OC220302-SN0890	Inf	Inf*	0.0120271	0.00817922	0.141846	0.187873	0.202204	0.2219	Inf	--	--	--	--	--	0	2	0.0098	0.0138	0.1064	0.013	0.0111	0.0133	0.0146	0.0106	0.0124	0.2281	0.0093	0.01	0.0102	0.0456	0.0496	0.01	0.0093	0.017	0.0118	0.013	0.0099	0.0236	4.3251	4.0961	0.770203111
OC220302-SN0894	OC220302-SN0894	Inf	Inf*	0.00896872	0.00890922	0.00550193	0.0111449	0.0113855	0.00583667	0.29511	--	--	--	--	--	0	2	0.0482	0.0278	0.1348	0.0308	0.0247	0.0144	0.0288	0.0124	0.0249	0.2972	0.0366	0.0335	0.0121	0.0672	0.0341	0.021	0.0213	0.0267	0.0169	0.0151	0.0183	0.0161	4.0062	3.9214	0.905898282
