,D614G_IC50,Omicron_IC50,BA2_IC50,BA3_IC50,SARS_IC50,R346K_IC50,BA2_12_1_IC50,BA4_IC50,BA2_13_IC50,source_group,group
BD55-1084,0.00250625,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-1087,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1091,0.513914,4.21151,NA,NA,0.0875747,8.37921,10,NA,NA,WT,E1
BD55-1092,0.00224585,10,10,10,10,10,10,10,10,WT,A
BD55-1093,10,10,10,NA,10,10,10,NA,NA,WT,F1
BD55-1096,0.037025,10,10,10,0.00805096,10,10,10,10,WT,F2
BD55-1104,0.0013,1.69911,0.130112,1.7273,10,1.36563,0.1264574,0.1436987,0.1526,WT,D2
BD55-1109,0.321154,10,0.66508,10,10,10,0.503879,0.6143575,0.49238,WT,D2
BD55-1114,0.00062352,NA,NA,NA,10,NA,0.758398,NA,NA,WT,E1
BD55-1117,0.487074,0.3489,10,10,10,0.242184,10,10,10,WT,F2
BD55-1128,10,10,10,10,1.28885,10,10,10,10,WT,F1
BD55-1129,0.0941648,10,10,10,0.371649,10,10,10,10,WT,F2
BD55-1132,9.97005,10,10,10,2.30193,10,10,10,10,WT,F1
BD55-1136,0.00195466,10,10,10,10,10,10,10,10,WT,D2
BD55-1140,10,10,10,NA,0.248863,10,10,NA,NA,WT,E3
BD55-1141,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1144,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1145,10,10,10,NA,10,10,10,NA,NA,WT,E3
BD55-1146,5.51876,10,10,10,1.34416,10,10,10,10,WT,E3
BD55-1162,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1171,0.00172352,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-1179,10,10,10,10,10,10,10,10,10,WT,E2.2
BD55-1180,0.00079146,10,10,10,10,10,10,10,10,WT,B
BD55-1192,0.693012,0.543421,0.215806,0.59912,10,0.617071,10,4.10093,0.19283,WT,C
BD55-1199,1.79012,10,10,10,10,10,10,10,10,WT,E3
BD55-1208,0.00345797,0.0255557,0.0356274,0.031,10,0.0240671,0.025781,0.0971,0.0331,WT,A
BD55-1211,10,10,10,10,10,10,10,10,10,WT,F1
BD55-1214,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1223,0.0757001,10,10,10,10,10,10,10,10,WT,C
BD55-1225,0.362511,10,NA,NA,10,10,10,NA,NA,WT,F2
BD55-1226,4.39703,NA,NA,NA,0.994836,NA,10,NA,NA,WT,F1
BD55-1232,0.0748516,NA,NA,NA,10,NA,10,NA,NA,WT,E1
BD55-1233,0.190517,2.036205,10,10,0.0200437,1.43488,10,10,10,WT,F2
BD55-1237,0.221,10,10,10,0.7239,10,10,10,10,WT,F2
BD55-1239,0.0303381,0.145644,10,10,0.0169778,0.0556861,10,10,10,WT,F2
BD55-1241,2.27636,10,10,10,0.291549,10,10,10,10,WT,E3
BD55-1242,10,10,10,10,3.14042,10,10,10,10,WT,F1
BD55-1244,0.991038,10,10,10,0.233994,10,10,10,10,WT,F1
BD55-1245,0.298148,10,10,10,10,10,10,10,10,WT,E1
BD55-1249,0.0152462,10,10,10,10,10,10,10,10,WT,A
BD55-1251,1.4981,0.977188,NA,NA,10,1.20666,3.35798,NA,NA,WT,E2.2
BD55-1256,0.00035866,2.35077,1.84651,1.876,10,0.990948,2.326015,10,1.62636,WT,C
BD55-1257,10,10,10,10,10,10,10,10,10,WT,F1
BD55-1263,0.00069021,10,10,10,10,10,10,10,10,WT,B
BD55-1266,0.869522,1.905608,1.28974,1.19273,10,1.49722,2.32608,8.699733,2.0091,WT,E2.2
BD55-1268,0.00184525,0.0216803,0.0255995,0.02277,10,1.6177,0.0351832,1.539742,0.031992,WT,D1
BD55-1273,0.0461087,10,10,10,0.12636,10,10,10,10,WT,F2
BD55-1274,0.2504,10,10,10,10,10,10,10,10,WT,E2.1
BD55-1275,10,10,10,NA,6.32842,10,10,NA,NA,WT,E2.2
BD55-1278,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1294,0.886,10,10,10,10,10,10,10,10,WT,E1
BD55-1297,1.95021,10,10,10,1.522,10,10,10,10,WT,F1
BD55-1307,0.108616,NA,NA,NA,10,NA,10,NA,NA,WT,E2.2
BD55-1312,0.0449209,10,10,10,10,10,10,10,10,WT,E2.1
BD55-1315,0.00463493,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD55-1323,0.00186581,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-1332,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1334,0.00037143,10,10,10,10,10,10,10,10,WT,B
BD55-1338,0.845517,5.01401,5.4289,3.9812,0.646419,5.23781,4.0716,4.49827,5.521903,WT,F1
BD55-1339,0.013678,0.0375978,0.0612,0.04773,10,0.0412136,0.035891,0.0696619,0.0481,WT,E1
BD55-1341,10,10,10,10,3.17206,10,10,10,10,WT,F1
BD55-1343,1.42604,10,10,10,1.93159,10,10,10,10,WT,F2
BD55-1346,0.0311897,NA,NA,NA,10,NA,0.456524,NA,NA,WT,A
BD55-1354,0.0138217,NA,NA,NA,10,NA,2.5254,NA,NA,WT,D1
BD55-1374,0.0285,10,10,10,10,10,10,10,10,WT,A
BD55-1391,10,10,10,NA,10,10,10,NA,NA,WT,E3
BD55-1396,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1398,1.47363,10,8.1774,5.923,0.447463,6.95158,10,6.73395,10,WT,F1
BD55-1403,0.002,10,10,10,0.0048,10,10,10,10,WT,E1
BD55-1404,0.0113173,NA,NA,NA,10,NA,0.357087,NA,NA,WT,A
BD55-1405,0.0741345,10,10,10,10,10,10,10,10,WT,E3
BD55-1411,0.0677333,10,10,10,0.0266017,10,10,10,10,WT,F2
BD55-1412,0.259106,NA,NA,NA,10,NA,10,NA,NA,WT,F2
BD55-1416,1.71887,10,NA,NA,5.17723,10,10,NA,NA,WT,F1
BD55-1421,0.00359582,NA,NA,NA,10,NA,10,NA,NA,WT,B
BD55-1429,0.422578,10,10,10,10,10,10,10,10,WT,F1
BD55-1432,1.42903,10,10,10,10,10,10,10,10,WT,E2.1
BD55-1435,0.050557,10,10,10,10,10,10,10,10,WT,C
BD55-1442,0.0389489,0.391726,0.419546,0.392394,10,0.809506,1.46446,8.72798,1.283,WT,E2.2
BD55-1445,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1450,0.0238428,NA,NA,NA,10,NA,10,NA,NA,WT,F3
BD55-1451,0.00173038,NA,NA,NA,10,NA,2.21361,NA,NA,WT,A
BD55-1453,1.48946,1.86676,1.21419,3.91293,10,2.22789,4.04874,2.50357,1.921,WT,E3
BD55-1456,0.00701548,10,10,10,10,10,10,10,10,WT,A
BD55-1458,2.50431,10,10,10,7.51343,10,10,10,10,WT,E3
BD55-1464,10,10,10,10,10,10,10,10,10,WT,F1
BD55-1472,2.33947,NA,NA,NA,0.720245,NA,1.041254,NA,NA,WT,E2.2
BD55-1486,0.658734,NA,NA,NA,10,NA,0.777414,NA,NA,WT,E3
BD55-1499,10,10,10,10,10,10,10,10,10,WT,F1
BD55-1502,0.00996296,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD55-1503,0.00857104,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD55-1508,1.4257,10,10,10,10,10,10,10,10,WT,B
BD55-1558,7.20752,10,10,10,10,10,10,10,10,WT,C
BD55-1570,3.91932,NA,NA,NA,6.52925,NA,10,NA,NA,WT,E3
BD55-1575,0.01255,NA,NA,NA,10,NA,1.78127,NA,NA,WT,A
BD55-1576,0.001,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-1579,0.0455,10,10,10,10,10,10,10,10,WT,C
BD55-1604,10,10,10,NA,10,10,10,NA,NA,WT,E3
BD55-1638,0.00188,2.26518,2.36002,2.881,10,2.20084,2.10272,4.912,3.0129,WT,E1
BD55-1694,0.0017,10,10,10,10,10,10,10,10,WT,C
BD55-1706,0.0034,0.824,0.0279117,0.66125,10,0.717199,0.143347,0.809938,0.1029,WT,D1
BD55-1763,0.0299,10,10,10,10,10,10,10,10,WT,A
BD55-1779,0.00215,NA,NA,NA,10,NA,10,NA,NA,WT,D1
BD55-1789,0.2491,10,10,10,10,10,10,10,10,WT,F3
BD55-1809,4.91731,10,10,10,10,10,10,10,10,WT,A
BD55-1811,10,10,10,NA,1.08618,10,10,NA,NA,WT,E3
BD55-1831,1.4218,4.6389,3.123,5.0192,1.6623,3.6037,3.83736,10,3.9812,WT,E2.2
BD55-1868,0.339769,10,10,10,10,10,10,10,10,WT,F2
BD55-1957,0.630395,2.50242,1.69896,2.89,10,3.65099,4.02416,3.64291,2.0192,WT,E2.2
BD55-1962,0.0269,1.2,1.35228,1.198282,10,2.62807,2.682537,2.243893,10,WT,D1
BD55-1970,0.00731516,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD55-2101,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-2314,10,10,10,10,2.99027,10,10,10,10,SARS,E3
BD55-2413,10,10,10,10,0.539797,10,10,10,10,SARS,F1
BD55-2532,0.0104388,0.171063,0.316687,0.3302,0.116616,0.795424,0.362382,0.4922731,0.5929,SARS,E1
BD55-2696,0.715284,10,10,10,0.0218947,10,10,10,10,SARS,F2
BD55-3149,0.595,10,10,10,1.0629,10,10,10,10,SARS,E1
BD55-3150,10,NA,NA,NA,0.31381,NA,9.99412,NA,NA,SARS,E3
BD55-3152,0.0105,0.252825,0.17926,0.29192,0.0225,0.187777,0.170493,0.391446,0.1593252,SARS,E1
BD55-3161,10,NA,NA,NA,0.19539,NA,10,NA,NA,SARS,F1
BD55-3293,7.20167,10,10,10,10,10,10,10,10,SARS,F1
BD55-3300,10,NA,NA,NA,0.6387,NA,3.71167,NA,NA,SARS,E2.2
BD55-3304,0.4793,10,10,10,0.2159,10,10,10,10,SARS,F2
BD55-3324,10,10,10,10,0.18908,10,10,10,10,SARS,F1
BD55-3327,7.31388,NA,NA,NA,0.79499,NA,6.20036,NA,NA,SARS,E3
BD55-3337,0.2878,2.29703,1.74417,1.8723,0.05431,1.94065,1.557508,1.28525,0.714774,SARS,E3
BD55-3366,10,10,10,10,1.86132,10,10,10,10,SARS,F1
BD55-3367,10,10,10,NA,10,10,10,NA,NA,SARS,F1
BD55-3370,8.55231,NA,NA,NA,5.92871,NA,4.40446,NA,NA,SARS,E2.2
BD55-3372,0.0068,0.0203167,0.105135,0.009128,0.0138,0.0140481,0.01330316,0.01483837,0.01637208,SARS,F3
BD55-3414,6.45775,10,10,10,0.01062,10,10,10,10,SARS,F3
BD55-3417,10,10,10,10,1.90391,10,10,10,10,SARS,E3
BD55-3433,0.002,4.09445,3.22344,1.9872,3.9423,10,3.248821,4.267333,2.107912,SARS,E1
BD55-3440,0.1543,10,5.04439,6.98129,0.0461,4.27941,5.36286,6.89812,8.921,SARS,E1
BD55-3451,0.0098,10,10,10,0.0239,10,10,10,10,SARS,E1
BD55-3457,1.7992,3.19122,10,4.282,1.7533,2.58101,3.57524,5.5358,7.61577,SARS,E1
BD55-3484,8.28033,2.30829,2.69685,2.92934,2.05162,10,2.89464,2.792338,2.58314,SARS,E2.2
BD55-3500,0.1053,0.5782,3.871,3.9129,0.0522,1.12188,4.88981,2.87528,3.46322,SARS,F2
BD55-3525,1.5579,5.43996,6.96521,3.91,0.223,5.5887,3.89502,10,7.233,SARS,E2.2
BD55-3546,0.00113,0.00579642,0.0358801,0.0625,0.0046,0.00352476,0.0394946,0.0342489,0.0537088,SARS,E1
BD55-3549,10,10,10,10,10,10,10,10,10,SARS,F1
BD55-3561,10,10,10,10,1.3559,10,10,10,10,SARS,E3
BD55-3597,1.05601,2.452355,1.96093,2.912,0.05466,3.36612,5.57624,3.14884,3.86472,SARS,E3
BD55-3602,5.23226,NA,NA,NA,4.1557,NA,10,NA,NA,SARS,F1
BD55-3611,3.03895,NA,NA,NA,0.33814,NA,3.31435,NA,NA,SARS,E3
BD55-3637,0.9197,10,10,10,1.0948,10,10,10,10,SARS,E1
BD55-3670,10,10,10,10,0.1025,10,10,10,10,SARS,F2
BD55-3684,10,10,10,10,6.33068,10,10,10,10,SARS,F1
BD55-3698,1.65615,10,10,10,1.55363,10,10,10,10,SARS,E2.2
BD55-3716,1.1549,10,10,10,0.0155,10,10,10,10,SARS,F2
BD55-3721,0.031354,6.3772,10,10,0.0100194,6.92671,10,10,10,SARS,F2
BD55-3741,10,10,10,10,1.98833,10,10,10,10,SARS,F1
BD55-3773,0.51637,2.89073,NA,NA,0.08166,3.89413,7.04699,NA,NA,SARS,E3
BD55-3807,10,10,10,10,0.46323,10,10,10,10,SARS,E3
BD55-3832,5.7316,NA,NA,NA,10,NA,10,NA,NA,SARS,E3
BD55-4281,0.016,10,10,10,0.0118,10,10,10,10,SARS,E1
BD55-4285,0.2561,10,10,10,2.0741,10,10,10,10,SARS,E1
BD55-4286,10,10,10,10,2.55369,10,10,10,10,SARS,F1
BD55-4325,0.1977,10,10,10,0.0571,10,10,10,10,SARS,E1
BD55-4328,0.93793,10,10,10,0.12,10,10,10,10,SARS,F1
BD55-4329,10,10,10,10,0.88597,10,10,10,10,SARS,F1
BD55-4342,1.33293,5.44505,NA,NA,0.212546,6.89216,5.00608,NA,NA,SARS,F1
BD55-4343,2.51426,NA,NA,NA,0.19351,NA,10,NA,NA,SARS,F2
BD55-4344,5.80234,10,10,10,0.0417,10,10,10,10,SARS,F2
BD55-4345,0.24506,10,10,10,0.03418,10,10,10,10,SARS,F2
BD55-4348,0.30165,10,10,10,0.06558,10,10,10,10,SARS,F2
BD55-4351,1.60932,10,10,10,1.32724,10,10,10,10,SARS,C
BD55-4356,10,10,10,NA,0.26184,10,10,NA,NA,SARS,F2
BD55-4357,5.61232,10,10,10,1.28625,10,10,10,10,SARS,F2
BD55-4358,0.13696,0.648858,10,10,0.13216,0.955936,10,10,10,SARS,F2
BD55-4359,10,10,10,10,10,10,10,10,10,SARS,F1
BD55-4360,10,10,10,NA,8.32987,10,10,NA,NA,SARS,F1
BD55-4364,10,10,10,10,1.65737,10,10,10,10,SARS,F1
BD55-4382,2.3416,10,10,10,10,10,10,10,10,SARS,C
BD55-4392,10,10,10,10,0.432803,10,10,10,10,SARS,F1
BD55-4394,10,10,10,10,0.66283,10,10,10,10,SARS,F1
BD55-4397,2.17892,10,10,10,0.16166,10,10,10,10,SARS,C
BD55-4418,2.46685,NA,NA,NA,NA,NA,9.64847,NA,NA,SARS,F1
BD55-4464,3.32122,NA,NA,NA,1.38742,NA,10,NA,NA,SARS,F1
BD55-4467,10,7.27367,8.93908,10,0.9561,4.72387,10,10,8.293,SARS,E2.2
BD55-4483,0.0620029,10,10,10,0.0119113,10,10,10,10,SARS,F2
BD55-4484,0.0263631,0.0623387,0.160334,0.2881,0.0340209,0.0807321,0.196313,0.351793,0.223821,SARS,E1
BD55-4495,0.0293798,0.12973,0.146449,0.1188923,0.0100871,0.360624,0.21742,0.1362181,0.1406624,SARS,E1
BD55-4637,0.0200628,0.0226801,0.02245147,0.01512,0.00367349,0.0397017,0.02532,0.0242664,0.019233,SARS,F3
BD55-4662,0.00254498,NA,NA,NA,10,NA,0.2282253,NA,NA,SARS,B
BD55-4664,0.0803176,0.208958,0.242147,0.3912,0.0255233,0.499388,0.2056,0.2965137,0.286046,SARS,E1
BD55-4707,10,10,10,10,10,10,10,10,10,SARS,F2
BD55-4760,0.242208,10,10,10,0.0315356,10,10,10,10,SARS,F2
BD55-4804,10,10,10,10,0.106045,10,10,10,10,SARS,E3
BD55-4892,0.30633,10,10,10,0.82143,10,10,10,10,SARS,E1
BD55-5001,0.00677287,10,10,10,0.0079593,10,10,10,10,SARS,E1
BD55-5163,0.0336955,10,10,10,0.00155116,10,10,10,10,SARS,F3
BD55-5164,2.19245,10,10,10,0.0641756,10,10,10,10,SARS,F2
BD55-5166,10,10,10,NA,NA,10,10,NA,NA,SARS,F2
BD55-5167,0.0368743,10,NA,NA,0.0204181,10,10,NA,NA,SARS,F2
BD55-5168,0.0639125,0.0663024,0.490837,0.09821,0.00491449,0.0370547,0.321354,0.676743,0.434419,SARS,F3
BD55-5170,0.0218,10,10,10,0.0062,10,10,10,10,SARS,F2
BD55-5171,0.00201268,10,NA,NA,0.00753054,10,10,NA,NA,SARS,E1
BD55-5175,0.000460097,10,10,10,0.00227094,10,10,10,10,SARS,E1
BD55-5176,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5182,0.256303,10,10,10,0.0600886,10,10,10,10,SARS,F2
BD55-5183,0.382,10,10,10,10,10,10,10,10,SARS,B
BD55-5189,0.00752324,10,10,10,0.00246271,10,10,10,10,SARS,F2
BD55-5195,0.3192,10,10,10,0.0064,10,10,10,10,SARS,E1
BD55-5196,0.24542,10,10,10,0.00992566,10,10,10,10,SARS,F3
BD55-5198,2.07958,10,NA,NA,NA,NA,10,NA,NA,SARS,F3
BD55-5200,0.184968,10,10,10,0.0069906,10,10,10,10,SARS,E1
BD55-5201,0.0188402,10,10,10,0.0420567,10,10,10,10,SARS,F2
BD55-5205,10,10,10,10,10,10,10,10,10,SARS,F1
BD55-5212,0.925151,3.30136,6.932,3.912,0.0368546,2.17842,4.42437,5.291,4.32526,SARS,E3
BD55-5215,1.2267,10,10,10,0.0679893,10,10,10,10,SARS,F1
BD55-5219,0.0136366,10,10,10,0.00222768,10,10,10,10,SARS,E1
BD55-5223,0.139792,10,10,10,0.0309889,10,10,10,10,SARS,F2
BD55-5226,0.7192,10,10,10,0.0363,10,10,10,10,SARS,F2
BD55-5228,0.006,10,10,10,0.0045,10,10,10,10,SARS,E1
BD55-5233,0.5121,10,10,10,0.0023,10,10,10,10,SARS,F3
BD55-5234,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5236,0.211974,10,10,10,0.0461609,10,10,10,10,SARS,F2
BD55-5238,0.218958,10,10,10,0.0146685,10,10,10,10,SARS,F2
BD55-5239,0.323559,10,10,10,0.0183625,10,10,10,10,SARS,F2
BD55-5242,0.0153684,0.0253218,10,10,0.00440689,0.0444588,10,10,10,SARS,F2
BD55-5245,0.578596,10,10,10,0.107105,10,10,10,10,SARS,F2
BD55-5248,0.858887,10,NA,NA,7.05681,10,10,NA,NA,SARS,F1
BD55-5250,1.6257,10,10,10,0.377907,10,10,10,10,SARS,F1
BD55-5251,0.832056,8.9013,6.31296,4.9291,0.202726,8.5581,8.021,3.617,4.34092,SARS,E3
BD55-5256,0.469952,3.6984,2.27538,1.9283,0.034455,2.49067,1.96999,5.226831,3.1748,SARS,F2
BD55-5259,0.625,3.901,4.30483,3.0192,0.0021,5.99045,3.77925,4.474783,6.3301,SARS,F3
BD55-5263,0.244248,1.7854,1.77181,2.0128,0.0510634,1.9224,1.5884,2.46,1.96619,SARS,E3
BD55-5264,1.68743,10,10,10,0.227783,10,10,10,10,SARS,F2
BD55-5265,0.215532,10,10,10,0.0160134,10,10,10,10,SARS,F2
BD55-5267,0.1224,10,10,10,0.0236,10,10,10,10,SARS,F2
BD55-5268,0.730345,10,10,10,10,10,10,10,10,SARS,E3
BD55-5271,0.976735,10,10,10,0.623049,10,10,10,10,SARS,F1
BD55-5276,0.1248,10,10,10,0.0335,10,10,10,10,SARS,F2
BD55-5284,2.08977,NA,NA,NA,NA,NA,10,NA,NA,SARS,F1
BD55-5286,0.00114567,0.0928189,0.0573462,0.050793,0.0089807,0.0419508,0.0427397,0.107637,0.0423,SARS,E1
BD55-5293,0.711,0.875235,1.52,1.8921,10,1.55386,1.785225,10,1.14044,SARS,E3
BD55-5296,0.0810562,0.725498,10,10,0.025814,0.512695,10,10,10,SARS,F2
BD55-5300,0.0051,0.00782975,0.00661792,0.003288,0.006,0.00394858,0.00661792,0.00547,0.00782975,SARS,F3
BD55-5301,0.0375571,10,10,10,0.00696735,10,10,10,10,SARS,F2
BD55-5303,0.00130165,2.189,5.64983,3.9921,0.0071799,2.31361,4.198863,3.340413,3.323938,SARS,E1
BD55-5304,0.0181312,0.155147,10,10,0.0210356,0.112067,10,10,10,SARS,F2
BD55-5305,1.00382,10,10,10,0.0162634,10,10,10,10,SARS,F3
BD55-5309,0.384128,10,10,10,0.00721996,10,10,10,10,SARS,F2
BD55-5311,10,10,10,10,0.409573,10,10,10,10,SARS,F1
BD55-5313,0.822119,10,10,10,0.0153478,10,10,10,10,SARS,E1
BD55-5319,0.015,0.158867,0.367389,0.2872,0.013,0.9783095,0.312777,0.359721,0.1546665,SARS,E1
BD55-5320,0.8585,4.744845,NA,NA,0.00664274,4.3417,4.393478,NA,NA,SARS,E2.2
BD55-5323,1.76239,10,10,10,0.00494231,10,10,10,10,SARS,F3
BD55-5324,0.0503077,10,10,10,0.0012967,10,10,10,10,SARS,B
BD55-5325,0.8943,10,10,10,0.0069,10,10,10,10,SARS,F3
BD55-5326,10,10,10,10,3.96859,10,10,10,10,SARS,F1
BD55-5333,0.0369,10,10,10,0.007,10,10,10,10,SARS,F2
BD55-5339,0.152,10,10,10,0.0385,10,10,10,10,SARS,F2
BD55-5342,0.0134682,10,10,10,0.018043,10,10,10,10,SARS,F3
BD55-5343,0.00780882,10,10,10,0.00946952,10,10,10,10,SARS,F2
BD55-5346,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5354,1.22076,10,10,10,0.00329362,10,10,10,10,SARS,F3
BD55-5358,0.983555,10,10,10,0.0813217,10,10,10,10,SARS,F1
BD55-5359,2.28002,NA,NA,NA,NA,NA,2.42231,NA,NA,SARS,F1
BD55-5361,2.38805,10,10,10,0.355801,10,10,10,10,SARS,F1
BD55-5365,0.7155,10,10,10,0.0275,10,10,10,10,SARS,F3
BD55-5379,0.841553,1.93358,1.12834,2.0128,0.387529,2.31005,2.16997,1.57073,3.41617,SARS,E3
BD55-5380,0.0263955,10,10,10,0.0205261,10,10,10,10,SARS,F2
BD55-5382,0.3037,10,10,10,0.0052,10,10,10,10,SARS,E1
BD55-5384,0.9626,10,10,10,0.0431,10,10,10,10,SARS,F2
BD55-5386,0.00214,0.00719361,0.0275,0.0526,0.009,0.00321,0.045852,0.0398874,0.0375463,SARS,E1
BD55-5387,0.730429,10,10,10,0.0129567,10,10,10,10,SARS,F2
BD55-5389,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5395,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5396,1.92109,10,10,10,0.00601981,10,10,10,10,SARS,F3
BD55-5397,0.441678,2.49281,NA,NA,0.0350182,3.31988,4.49685,NA,NA,SARS,F2
BD55-5399,0.00179839,10,10,10,0.00104328,10,10,10,10,SARS,B
BD55-5400,10,10,10,10,2.5834,10,10,10,10,SARS,F1
BD55-5402,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5404,1.49281,1.5223,NA,NA,0.191115,1.95637,2.46638,NA,NA,SARS,F1
BD55-5406,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5408,0.170918,10,10,10,0.0064201,10,10,10,10,SARS,F3
BD55-5411,10,10,10,10,0.559194,10,10,10,10,SARS,F2
BD55-5412,10,10,10,NA,NA,10,10,NA,NA,SARS,F2
BD55-5413,10,10,10,10,1.8823,10,10,10,10,SARS,E2.2
BD55-5415,0.032683,10,10,10,0.09812,10,10,10,10,SARS,E3
BD55-5416,0.118517,10,10,10,0.0188689,10,10,10,10,SARS,F2
BD55-5417,10,10,10,10,0.497055,10,10,10,10,SARS,F1
BD55-5418,3.28641,NA,NA,NA,NA,NA,4.24364,NA,NA,SARS,E3
BD55-5419,4.96548,10,10,10,0.0333099,10,10,10,10,SARS,F2
BD55-5425,10,10,10,10,0.0804872,10,10,10,10,SARS,F1
BD55-5427,10,10,10,10,0.0475429,10,10,10,10,SARS,F2
BD55-5431,0.197265,10,10,10,0.0127653,10,10,10,10,SARS,F2
BD55-5432,0.0262415,10,10,10,0.0164559,10,10,10,10,SARS,F2
BD55-5435,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5438,0.547912,10,10,10,0.120807,10,10,10,10,SARS,F2
BD55-5442,1.64089,10,10,10,0.179963,10,10,10,10,SARS,F1
BD55-5448,1.30936,10,10,10,0.0036507,10,10,10,10,SARS,F3
BD55-5449,0.00463328,0.0198733,0.493665,0.039991,0.00913948,0.0213939,0.485814,0.548772,0.476534,SARS,E1
BD55-5450,4.25415,NA,NA,NA,NA,NA,10,NA,NA,SARS,F2
BD55-5453,6.25133,10,10,10,0.573082,10,10,10,10,SARS,F1
BD55-5454,10,10,10,10,1.14321,10,10,10,10,SARS,F1
BD55-5456,10,10,10,10,0.275296,10,10,10,10,SARS,F1
BD55-5457,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5459,0.060967,10,10,10,0.00281777,10,10,10,10,SARS,F3
BD55-5462,0.00494638,10,0.0451735,10,0.00285506,10,0.0630812,1.873262,0.0492663,SARS,D1
BD55-5463,0.038668,10,10,10,0.00193205,10,10,10,10,SARS,B
BD55-5466,0.269301,1.025,5.97466,1.9921,0.00225092,1.52457,4.902717,4.527715,4.34723,SARS,F3
BD55-5467,2.3416,10,10,10,0.0145715,10,10,10,10,SARS,F2
BD55-5468,1.4348,10,10,10,0.00384575,10,10,10,10,SARS,F3
BD55-5470,0.560752,10,10,10,0.155741,9.86139,10,10,10,SARS,E3
BD55-5471,10,10,10,10,1.68427,10,10,10,10,SARS,F1
BD55-5472,0.10759,0.512459,0.7323,0.3912,0.00313721,0.224517,0.527383,0.699631,0.789123,SARS,F3
BD55-5473,0.66356,10,10,10,0.00200136,10,10,10,10,SARS,E1
BD55-5474,0.412778,10,10,10,0.0439687,10,10,10,10,SARS,F2
BD55-5476,10,10,10,10,0.357172,10,10,10,10,SARS,F1
BD55-5477,0.00157798,0.0211854,0.055874,0.0651,0.0159336,0.0457998,0.03584,0.0541095,0.0493002,SARS,E1
BD55-5483,0.0138198,0.00646924,0.0133165,0.0068128,0.00580886,0.00519205,0.00828534,0.01395524,0.00805106,SARS,F3
BD55-5484,0.00140105,0.0031855,0.0109884,0.004761726,0.00222406,0.00231753,0.00465952,0.00570084,0.010698088,SARS,E1
BD55-5485,10,10,10,10,0.327706,10,10,10,10,SARS,E3
BD55-5486,0.381042,10,NA,NA,0.0318907,10,10,NA,NA,SARS,F2
BD55-5493,0.119165,10,10,10,0.0283906,10,10,10,10,SARS,F2
BD55-5495,1.31475,10,10,10,0.559429,10,10,10,10,SARS,F1
BD55-5497,0.46845,10,10,10,0.0348677,10,10,10,10,SARS,F2
BD55-5501,0.0228002,10,10,10,0.0230296,10,10,10,10,SARS,E1
BD55-5502,10,10,10,10,3.68941,10,10,10,10,SARS,F1
BD55-5505,10,10,10,10,0.138266,10,10,10,10,SARS,F2
BD55-5512,0.031614,10,10,10,0.00578331,10,10,10,10,SARS,F2
BD55-5514,0.0106766,0.00169229,0.00723,0.00712688,0.0044082,0.00301841,0.00517656,0.00503855,0.00593,SARS,F3
BD55-5516,0.0556775,0.366509,NA,NA,0.0331882,0.528924,10,NA,NA,SARS,F2
BD55-5517,2.15669,NA,NA,NA,NA,NA,7.45018,NA,NA,SARS,F2
BD55-5519,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5521,0.0807024,10,10,10,0.0398124,10,10,10,10,SARS,F2
BD55-5524,10,10,10,10,0.0162734,10,10,10,10,SARS,E2.2
BD55-5526,10,10,10,10,0.09449,10,10,10,10,SARS,F3
BD55-5530,0.00171609,10,10,10,0.00164694,10,10,10,10,SARS,B
BD55-5537,0.087978,10,10,10,0.0126592,10,10,10,10,SARS,F2
BD55-5540,10,10,10,NA,NA,10,10,NA,NA,SARS,E2.2
BD55-5542,0.516973,10,10,10,0.0202583,10,10,10,10,SARS,E1
